time,0.5mM Lys,1mM Lys,1.5 mM Lys,2.5 mM Lys
0,0.53,1.02,1.50,2.50
2,0.35,0.56,1.02,2.09
5,0.27,0.51,0.96,1.98
30,0.06,0.46,0.59,1.34
60,0.00,0.25,0.37,0.97

time,5 mM Lys,10mM Lys
0,5.00,10.00
10,4.65,9.86
30,4.38,9.75
60,3.70,8.57
